,Product_ID,Sales_Agent,Status,Created_hour,Created_min,Created_day,Created_month,Source_freq_encode,Location_freq_encode,Delivery_Mode_Mode-1,Delivery_Mode_Mode-2,Delivery_Mode_Mode-3,Delivery_Mode_Mode-4,Delivery_Mode_Mode-5
2087,15,5,0,2,31,10,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
2088,18,7,1,23,37,9,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2089,18,7,1,17,50,9,9,0.36340065502183405,0.28370633187772926,0,0,1,0,0
2090,5,7,0,17,45,9,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2091,18,7,0,17,25,9,9,0.36340065502183405,0.12377183406113537,0,0,1,0,0
2092,19,7,1,16,15,9,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2093,9,7,1,16,0,9,9,0.36340065502183405,0.028930131004366814,0,0,1,0,0
2094,19,7,0,15,55,9,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
2095,27,7,0,15,40,9,9,0.36340065502183405,0.07191593886462883,0,0,1,0,0
2096,19,7,0,15,25,9,9,0.36340065502183405,0.054448689956331876,0,0,1,0,0
2097,18,7,1,15,2,9,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2098,5,7,0,11,40,9,9,0.2368995633187773,0.07191593886462883,1,0,0,0,0
2099,18,7,0,5,34,9,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2100,19,7,1,1,1,9,9,0.2368995633187773,0.06413755458515284,0,0,1,0,0
2101,27,7,0,0,27,9,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2102,18,2,0,19,10,8,9,0.36340065502183405,0.12377183406113537,0,0,1,0,0
2103,18,7,1,18,25,8,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2104,15,5,0,18,25,8,9,0.36340065502183405,0.3541211790393013,1,0,0,0,0
2105,18,4,1,17,55,8,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
2106,19,2,0,16,50,8,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
2107,18,5,1,13,50,8,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
2108,10,11,0,13,30,8,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
2109,9,4,1,13,20,8,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2110,5,9,1,13,20,8,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2111,9,8,1,13,0,8,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
2112,19,11,0,12,50,8,9,0.36340065502183405,0.01896834061135371,0,0,1,0,0
2113,18,2,1,12,31,8,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2114,9,9,1,12,15,8,9,0.36340065502183405,0.06413755458515284,0,0,1,0,0
2115,9,9,1,12,4,8,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2116,18,9,1,11,35,8,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2117,19,9,1,11,29,8,9,0.028930131004366814,0.28370633187772926,1,0,0,0,0
2118,15,4,1,10,5,8,9,0.3460698689956332,0.28370633187772926,0,0,0,0,1
2119,9,4,1,10,3,8,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2120,18,7,1,9,53,8,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2121,15,9,0,9,52,8,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2122,15,5,0,9,52,8,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2123,15,2,0,9,51,8,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2124,15,7,0,9,51,8,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2125,18,12,0,9,46,8,9,0.3460698689956332,0.12377183406113537,0,0,0,0,1
2126,5,7,1,9,40,8,9,0.36340065502183405,0.054448689956331876,0,0,1,0,0
